mu 
    1.0000    0.9511    0.8090    0.5878    0.3090    0.0000    0.0000
    0.2939    0.5590    0.7694    0.9045    0.9511    0.9045    0.7694
    0.5590    0.2939    0.0000    0.0000    0.2500    0.4755    0.6545
    0.7694    0.8090    0.7694    0.6545    0.4755    0.2500    0.0000
    0.0000    0.1816    0.3455    0.4755    0.5590    0.5878    0.5590
    0.4755    0.3455    0.1816    0.0000    0.0000    0.0955    0.1816
    0.2500    0.2939    0.3090    0.2939    0.2500    0.1816    0.0955
    0.0000    0.0000    0.0000    0.0000    0.0000    0.0000    0.0000
    0.0000    0.0000    0.0000    0.0000    0.0000
L4 
    0.0000    0.0000    0.0000    0.0000    0.0000    0.0000    0.0000
    0.0000    0.0000    0.0000    0.0000    0.0000    0.0000    0.0000
    0.0000    0.0000    0.0000    0.0000    0.0000    0.0000    0.0000
    0.0000    0.0000   -0.0127   -0.0470   -0.1054   -0.1831   -0.2679
   -0.3435   -0.3930   -0.4025   -0.3653   -0.2830   -0.1666   -0.0339
    0.0930    0.1929    0.2489    0.2519    0.2030    0.1129    0.0000
    0.0000    0.0127    0.0000   -0.0561   -0.1612   -0.3058   -0.4671
   -0.6135   -0.7118   -0.7352   -0.6697   -0.5183   -0.3012   -0.0527
    0.1859    0.3735    0.4780    0.4823    0.3881    0.2157    0.0000
    0.0000    0.0470    0.0561    0.0000   -0.1306   -0.3232   -0.5458
   -0.7536   -0.8991   -0.9434   -0.8658   -0.6690   -0.3804   -0.0466
    0.2750    0.5280    0.6678    0.6706    0.5384    0.2989    0.0000
    0.0000    0.1054    0.1612    0.1306    0.0000   -0.2168   -0.4810
   -0.7374   -0.9267   -1.0000   -0.9298   -0.7177   -0.3947   -0.0155
    0.3523    0.6417    0.7999    0.7983    0.6391    0.3543    0.0000
    0.0000    0.1831    0.3058    0.3232    0.2168    0.0000   -0.2844
   -0.5741   -0.8016   -0.9098   -0.8660   -0.6691   -0.3509    0.0311
    0.4050    0.6996    0.8585    0.8512    0.6793    0.3760    0.0000
    0.0000    0.2679    0.4671    0.5458    0.4810    0.2844    0.0000
   -0.3065   -0.5630   -0.7077   -0.7038   -0.5476   -0.2689    0.0764
    0.4189    0.6894    0.8333    0.8209    0.6530    0.3609    0.0000
    0.0000    0.3435    0.6135    0.7536    0.7374    0.5741    0.3065
    0.0000   -0.2727   -0.4486   -0.4893   -0.3893   -0.1752    0.1027
    0.3829    0.6052    0.7219    0.7070    0.5608    0.3096    0.0000
    0.0000    0.3930    0.7118    0.8991    0.9267    0.8016    0.5630
    0.2727    0.0000   -0.1945   -0.2733   -0.2313   -0.0936    0.0974
    0.2940    0.4507    0.5321    0.5187    0.4106    0.2264    0.0000
    0.0000    0.4025    0.7352    0.9434    1.0000    0.9098    0.7077
    0.4486    0.1945    0.0000   -0.0987   -0.1002   -0.0368    0.0593
    0.1600    0.2407    0.2823    0.2744    0.2169    0.1195    0.0000
    0.0000    0.3653    0.6697    0.8658    0.9298    0.8660    0.7038
    0.4893    0.2733    0.0987    0.0000    0.0000    0.0000    0.0000
    0.0000    0.0000    0.0000    0.0000    0.0000    0.0000    0.0000
    0.0000    0.2830    0.5183    0.6690    0.7177    0.6691    0.5476
    0.3893    0.2313    0.1002    0.0000    0.0000    0.1666    0.3012
    0.3804    0.3947    0.3509    0.2689    0.1752    0.0936    0.0368
    0.0000    0.0000    0.0339    0.0527    0.0466    0.0155   -0.0311
   -0.0764   -0.1027   -0.0974   -0.0593    0.0000    0.0000   -0.0930
   -0.1859   -0.2750   -0.3523   -0.4050   -0.4189   -0.3829   -0.2940
   -0.1600    0.0000    0.0000   -0.1929   -0.3735   -0.5280   -0.6417
   -0.6996   -0.6894   -0.6052   -0.4507   -0.2407    0.0000    0.0000
   -0.2489   -0.4780   -0.6678   -0.7999   -0.8585   -0.8333   -0.7219
   -0.5321   -0.2823    0.0000    0.0000   -0.2519   -0.4823   -0.6706
   -0.7983   -0.8512   -0.8209   -0.7070   -0.5187   -0.2744    0.0000
    0.0000   -0.2030   -0.3881   -0.5384   -0.6391   -0.6793   -0.6530
